id,openai_classification
1383065,Central location; Ideal for couples; Romantic atmosphere  
1384280,Central location; Cozy atmosphere; Ideal for couples  
1394492,
1400957,Quiet area; Includes high-speed WiFi; Suitable for solo travelers
1404051,Central location; Near public transportation; Cozy atmosphere  
1449549,Central location; Close to restaurants and cafes; Nearby parks or green spaces  
1460047,Central location; Spacious living areas; Ideal for couples  
1465124,Central location; Near public transportation; Includes cleaning service  
1474923,
1475688,Luxury apartment; Romantic atmosphere; Panoramic city views  
1480645,Central location; Historic neighborhood; Near public transportation  
1488818,Central location; Budget-friendly; Near public transportation  
1498761,Central location; Near a river or waterfront; Rooftop terrace or balcony  
1508028,Close to local markets; Accessible for reduced mobility; Includes private parking  
1509112,Central location; Fully equipped kitchen; Cozy atmosphere
1512029,Central location; Near public transportation; Family-friendly  
1590317,Luxury apartment; Panoramic city views; Ideal for couples  
1590337,Near public transportation; Safe neighborhood; Quiet area  
1591316,Quiet street; Accessible for reduced mobility; Compact and efficient studio  
1647656,Central location; Close to restaurants and cafes; Local artisan decor  
1685474,
1686130,Central location; Family-friendly; Fully equipped kitchen  
1701072,Central location; Family-friendly; Luxury apartment  
1706131,With private parking; Flexible check-in; Close to public squares  
1708606,Central location; Artistic atmosphere; Close to local markets  
1711450,With private parking; Flexible check-in; Near public transportation
1735621,Quiet area; Ideal for couples; Suitable for solo travelers  
1763136,Near major landmarks; Central location; Historic neighborhood  
1775594,Fully equipped kitchen; Near public transportation; Cozy atmosphere  
1775721,Fully equipped kitchen; Near public transportation; Cozy atmosphere  
1775745,Fully equipped kitchen; Near public transportation; Cozy atmosphere  
1775852,Fully equipped kitchen; Near public transportation; Cozy atmosphere  
1782461,Quiet area; Near public transportation; Cozy atmosphere  
1794809,Modern apartment; Remote work setup; With private parking  
1797813,Central location; Near cultural attractions; Fully equipped kitchen  
1800018,Charming old-town vibe; Near parks or green spaces; Cozy atmosphere
1814243,
1824829,Central location; Family-friendly; Close to restaurants and cafes
1867891,Central location; Near public transportation; Close to restaurants and cafes
1871973,Good natural lighting; Spacious living areas; Central location
1887734,Family-friendly; Central location; Close to parks or green spaces
1895260,Central location; Near public transportation; Includes cleaning service
1908384,Unique architectural design; Boutique apartment; Stylish and modern decor
1916627,Cozy atmosphere; Ideal for couples; Central location
1916785,Cozy atmosphere; Ideal for couples; Central location
1916786,Rooftop terrace or balcony; Romantic atmosphere; Central location
1921408,
1921456,
1921550,
1921578,
1921603,
1935976,
1938191,Unique architectural design; Quiet area; Perfect for extended stays  
1962267,Spacious living areas; Central location; Ideal for couples  
1973172,Near public transportation; Central location; Includes cleaning service  
1982382,
1993533,Cozy atmosphere; Ideal for couples; Central location  
1994164,Modern apartment; Near cultural attractions; Close to restaurants and cafes  
1996883,Family-friendly; Fully equipped kitchen; Central location  
2006581,Historic neighborhood; Quiet area; Near cultural attractions  
2006644,Compact and efficient studio; Functional home; Quiet area  
2006767,Good natural lighting; Family-friendly; Central location  
2026259,Ideal for couples; Central location; Close to cultural attractions
2064776,Luxury apartment; Spacious living areas; Close to restaurants and cafes  
2064781,Central location; Fully equipped kitchen; With private parking  
2065619,
2074111,Quiet area; Close to nightlife; Good natural lighting  
2085093,Historic neighborhood; Near major landmarks; Unique architectural design  
2096148,Central location; Cozy atmosphere; Near public transportation  
2096205,Central location; Cozy atmosphere; Near public transportation  
2098954,
2104362,Central location; Near public transportation; Includes cleaning service  
2106642,Central location; Fully equipped kitchen; Good natural lighting  
2117148,Central location; Near public transportation; Perfect for extended stays  
2127490,Historic neighborhood; Unique architectural design; Luxury apartment
2144220,Family-friendly; Flexible check-in; Spacious living areas  
2175991,Family-friendly; Ideal for couples; Suitable for solo travelers  
2179323,Central location; Family-friendly; With private parking  
2184441,Luxury apartment; Central location; Stylish and modern decor  
2200261,Modern apartment; Nearby parks or green spaces; Close to public transportation  
2200533,Modern apartment; Nearby parks or green spaces; Close to public transportation  
2212905,
2224754,Central location; Cozy atmosphere; Suitable for solo travelers  
2225678,Central location; Near cultural attractions; Includes high-speed WiFi  
2288037,Central location; Cozy atmosphere; Suitable for solo travelers  
2295068,Central location; Family-friendly; Spacious living areas
2303830,Includes cleaning service; Fully equipped kitchen; Central location  
2308808,
2335148,Historic neighborhood; Luxury apartment; Near cultural attractions  
2335489,Cozy atmosphere; Modern apartment; Fully equipped kitchen  
2335608,
2371086,Includes cleaning service; Modern apartment; Central location  
2371153,Includes cleaning service; Modern apartment; Family-friendly  
2394662,Central location; Close to public transportation; Cozy atmosphere  
2408226,Panoramic city views; Central location; Family-friendly  
2410556,Unique architectural design; Good natural lighting; Stylish and modern decor  
2412495,Near major landmarks; Fully equipped kitchen; Close to public transportation  
2415458,Historic neighborhood; Central location; Spacious living areas
2416049,Central location; Family-friendly; Near major landmarks  
2444926,Historic neighborhood; Quiet area; Fully equipped kitchen  
2456742,Central location; Near cultural attractions; Panoramic city views  
2490370,Luxury apartment; Central location; Unique architectural design  
2493281,Close to cultural attractions; Convenient access to public transportation; Family-friendly  
2497467,Historic neighborhood; Unique architectural design; Charming old-town vibe  
2498320,Central location; Family-friendly; Spacious living areas  
2509362,Central location; Near public transportation; Walkable neighborhood  
2512075,Central location; Includes cleaning service; Quiet street  
2549188,Historic neighborhood; Family-friendly; Spacious living areas
2550287,Luxury apartment; Central location; Near cultural attractions  
2559541,Family-friendly; Fully equipped kitchen; Spacious living areas  
2559949,Luxury apartment; Modern apartment; Family-friendly  
2562920,Central location; Family-friendly; Stylish and modern decor  
2571177,Suitable for solo travelers; Close to restaurants and cafes; Includes high-speed WiFi  
2579285,Central location; Close to nightlife; Fully equipped kitchen  
2631883,Boutique apartment; Includes cleaning service; Suitable for solo travelers  
2649626,
2655321,Stylish and modern decor; Central location; Unique architectural design  
2656156,Family-friendly; Fully equipped kitchen; Includes cleaning service  
2656812,Family-friendly; Fully equipped kitchen; Includes cleaning service
2684495,Ideal for couples; Central location; Quiet area  
2732357,Near major landmarks; Panoramic city views; Spacious living areas  
2742105,Historic neighborhood; Family-friendly; Cozy atmosphere  
2742534,Remote work setup; Quiet area; Close to restaurants and cafes  
2762904,Central location; Close to restaurants and cafes; Cozy atmosphere  
2765731,Near public transportation; Spacious living areas; Quiet area  
2791863,Family-friendly; Close to restaurants and cafes; Quiet area  
2809171,Accessible for reduced mobility; Quiet area; Near public transportation  
2822732,Fully equipped kitchen; Spacious living areas; Accessible for reduced mobility  
2839680,Rooftop terrace or balcony; Panoramic city views; Quiet area
2840293,Central location; Near public transportation; Modern apartment  
2843699,Central location; Near cultural attractions; Quiet street  
2848348,Central location; Near public transportation; Family-friendly  
2848689,Historic neighborhood; Unique architectural design; Cozy atmosphere  
2869082,Central location; Scenic walking routes nearby; Near cultural attractions  
2879186,Near public transportation; Family-friendly; Budget-friendly  
2903482,Central location; Historic neighborhood; Fully equipped kitchen  
2939716,Family-friendly; Pet-friendly; Cozy atmosphere  
2947360,
2974558,Central location; Historic neighborhood; Family-friendly  
2995655,Central location; Near cultural attractions; Near public transportation
3030736,Near public transportation; Family-friendly; Quiet area  
3048217,Central location; Near cultural attractions; Unique architectural design  
3072283,Central location; Near public transportation; Fully equipped kitchen  
3082194,Ideal for couples; Quiet area; Near major landmarks  
3119260,Central location; Near major landmarks; Family-friendly  
3135883,Central location; Luxury apartment; Good natural lighting  
3148637,Central location; Historic neighborhood; Modern apartment  
3154506,Quiet area; Charming old-town vibe; Ideal for couples  
3156119,Central location; Historic neighborhood; Modern apartment  
3182714,Cozy atmosphere; Ideal for couples; Scenic walking routes nearby
3187173,Ideal for couples; Cozy atmosphere; Quiet area  
3198177,Central location; Near public transportation; Historic neighborhood  
3199817,Central location; Near cultural attractions; Quiet area  
3213848,Central location; Fully equipped kitchen; Near public transportation  
3245650,Central location; Near cultural attractions; Charming old-town vibe  
3253477,Central location; Near public transportation; Includes cleaning service  
3265856,Historic neighborhood; Quiet area; Close to restaurants and cafes  
3268602,Central location; Quiet area; Near cultural attractions  
3274839,Central location; Budget-friendly; Near major landmarks  
3285761,Central location; Quiet area; Cozy atmosphere
3330473,Modern apartment; Close to restaurants and cafes; Near health and wellness facilities  
3337262,Fully equipped kitchen; Kid-friendly amenities; Near public transportation  
3341514,Historic neighborhood; Close to restaurants and cafes; Near cultural attractions  
3341640,Central location; Spacious living areas; Fully equipped kitchen  
3352182,Family-friendly; Close to local markets; Quiet area  
3374551,
3387737,Historic neighborhood; Close to restaurants and cafes; Near cultural attractions  
3401932,Family-friendly; Quiet area; With private parking  
3402184,Quiet area; Historic neighborhood; Close to cultural attractions  
3408724,Central location; Near public transportation; Nearby parks or green spaces  
3408832,Historic neighborhood; Central location; With private parking
3428179,Quiet area; Near public transportation; Close to major landmarks  
3436550,Luxury apartment; Central location; Ideal for couples  
3460998,Family-friendly; Quiet area; Fully equipped kitchen  
3480125,Quiet area; Close to restaurants and cafes; Near public transportation  
3488195,Central location; Near cultural attractions; Scenic walking routes nearby  
3500815,Family-friendly; Close to public transportation; Quiet area  
3501675,Stylish and modern decor; Ideal for couples; Quiet area  
3526480,Central location; Near major landmarks; Spacious living areas  
3538342,Fully equipped kitchen; With private parking; Luxury apartment  
3555487,Cozy atmosphere; Suitable for solo travelers; Quiet area
3572425,Central location; Near major landmarks; Historic neighborhood  
3587595,Central location; Fully equipped kitchen; Includes cleaning service  
3607157,Quiet area; Family-friendly; Near public transportation  
3620011,Quiet area; Central location; Fully equipped kitchen  
3691278,Central location; Family-friendly; Close to restaurants and cafes  
3692265,Cozy atmosphere; Ideal for couples; Compact and efficient studio  
3700086,Panoramic city views; Charming old-town vibe; Near public transportation  
3701347,Luxury apartment; Quiet street; Spacious living areas  
3755701,Central location; Fully equipped kitchen; Family-friendly  
3761912,Cozy atmosphere; Ideal for couples; Near public transportation
3769213,Central location; Near public transportation; Near major landmarks  
3792214,Central location; Family-friendly; Fully equipped kitchen  
3795323,Central location; Panoramic city views; Ideal for couples  
3798283,Central location; Near public transportation; Includes cleaning service  
3799767,Central location; Close to public squares; Quiet area  
3825532,Stylish and modern decor; Close to restaurants and cafes; Quiet area  
3848316,Close to shopping areas; Near public transportation; Near sports stadiums  
3855804,Historic neighborhood; Near public transportation; Close to major landmarks  
3860297,Central location; Modern apartment; Luxury apartment  
3885057,Quiet area; Near public transportation; Nearby parks or green spaces
3906237,
3910344,Central location; Includes high-speed WiFi; Comfortable for extra guests  
3942066,Suitable for extended stays; Near major landmarks; Safe neighborhood  
3995558,Central location; Charming old-town vibe; Ideal for couples  
3999017,Central location; Close to restaurants and cafes; Fully equipped kitchen  
4011532,Central location; Close to major landmarks; Cyclist-friendly area  
4019928,Central location; Close to restaurants and cafes; Family-friendly  
4020184,Cozy atmosphere; Family-friendly; Fully equipped kitchen  
4032287,Quiet area; Near public transportation; Garage available  
4043897,Near public transportation; Rooftop terrace or balcony; Central location  
4057103,Spacious living areas; Quiet area; Near public transportation
4067308,Family-friendly; Cozy atmosphere; Fully equipped kitchen  
4067519,Ideal for couples; Central location; Fully equipped kitchen  
4102616,Ideal for couples; Central location; Fully equipped kitchen  
4111243,Modern apartment; Quiet area; Close to shopping areas  
4123951,Cozy atmosphere; Quiet street; Close to restaurants and cafes  
4128116,Central location; Close to public squares; Includes high-speed WiFi  
4138985,Historic neighborhood; Unique architectural design; Charming old-town vibe  
4146486,Suitable for solo travelers; Near educational institutions; Laundry facilities included  
4148202,Central location; Near public transportation; Includes cleaning service  
4154459,Quiet area; Near public transportation; Good natural lighting
4169502,Family-friendly; Cozy atmosphere; Spacious living areas  
4172115,Kid-friendly amenities; Near public transportation; Cozy atmosphere  
4181329,Ideal for couples; Unique architectural design; Good natural lighting  
4186031,Central location; Near major landmarks; Spacious living areas  
4192947,Near public transportation; Rooftop terrace or balcony; Close to shopping areas  
4220495,Central location; Near major landmarks; Modern apartment  
4242785,Family-friendly; Near public transportation; Charming old-town vibe  
4254908,Near public transportation; Rooftop terrace or balcony; Close to shopping areas  
4255713,Budget-friendly; Cozy atmosphere; Good natural lighting  
4272222,Family-friendly; Central location; Spacious living areas
4275586,Unique architectural design; Central location; Near major landmarks  
4276782,Quiet area; Family-friendly; Fully equipped kitchen  
4277873,Modern apartment; Near public transportation; Suitable for solo travelers  
4281403,Near public transportation; Central location; Rooftop terrace or balcony  
4282453,Central location; Stylish and modern decor; Ideal for couples  
4297594,
4306132,Central location; Close to shopping areas; Fully equipped kitchen  
4326834,Central location; Family-friendly; Ideal for couples  
4327645,Panoramic city views; Central location; Close to restaurants and cafes  
4330227,Central location; Near cultural attractions; Suitable for solo travelers  
4330583,Cozy atmosphere; Cyclist-friendly area; Close to restaurants and cafes
4347269,Central location; Close to restaurants and cafes; Near cultural attractions  
4353029,Near public transportation; Central location; Quiet area  
4356855,Cozy atmosphere; Ideal for couples; Fully equipped kitchen  
4357780,Cozy atmosphere; Fully equipped kitchen; Suitable for solo travelers  
4357877,Cozy atmosphere; Fully equipped kitchen; Suitable for solo travelers  
4358029,
4361518,Modern apartment; Near public transportation; Family-friendly  
4374443,Luxury apartment; Modern apartment; Near major landmarks  
4379493,Luxury apartment; Central location; Near cultural attractions  
4391778,
4399328,Quiet street; Central location; Fully equipped kitchen  
4407430,Modern apartment; Nearby parks or green spaces; Panoramic city views
4451817,Near cultural attractions; Nearby parks or green spaces; Quiet area  
4459061,Central location; Historic neighborhood; Modern apartment  
4471025,Family-friendly; Quiet area; Ideal for couples  
4482813,Quiet area; Close to restaurants and cafes; Near cultural attractions  
4505576,Family-friendly; Quiet area; With private parking  
4510209,Family-friendly; Quiet area; Close to shopping areas  
4521645,Family-friendly; Near public transportation; Quiet area  
4531105,Safe neighborhood; Close to restaurants and cafes; Includes high-speed WiFi  
4536232,Central location; Near public transportation; Historic neighborhood  
4560836,Central location; Close to restaurants and cafes; Ideal for couples
4581742,Central location; Quiet area; Family-friendly
4605545,Close to restaurants and cafes; Nearby parks or green spaces; Cozy atmosphere
4613704,Compact and efficient studio; Good natural lighting; Quiet area
4628314,Central location; Spacious living areas; Family-friendly
4636547,Family-friendly; Fully equipped kitchen; Spacious living areas
4636980,Central location; Unique architectural design; Suitable for large groups
4641866,Good natural lighting; Family-friendly; Fully equipped kitchen
4646506,Stylish and modern decor; Panoramic city views; Good natural lighting
4648992,Family-friendly; Comfortable amenities; Safe neighborhood
4656601,Central location; Close to nightlife; Spacious living areas
4661414,Historic neighborhood; Central location; Cozy atmosphere  
4664550,Central location; Family-friendly; Near cultural attractions  
4669266,Safe neighborhood; Near public transportation; Cozy atmosphere  
4675496,Family-friendly; Central location; Close to restaurants and cafes  
4683256,Central location; Spacious living areas; Near major landmarks  
4684411,Unique architectural design; Modern apartment; Artistic atmosphere  
4684489,Central location; Ideal for couples; Modern apartment  
4684491,Near public transportation; Central location; Close to shopping areas  
4684502,Unique architectural design; Modern apartment; Stylish and modern decor  
4684549,Unique architectural design; Panoramic city views; Modern apartment
4684566,Spacious living areas; Rooftop terrace or balcony; Panoramic city views  
4703467,Central location; Close to restaurants and cafes; Ideal for couples  
4713822,Quiet area; Near public transportation; Walkable neighborhood  
4717700,Charming old-town vibe; Close to major landmarks; Cozy atmosphere  
4719127,Historic neighborhood; Budget-friendly; Close to local markets  
4720355,Quiet area; Close to restaurants and cafes; Suitable for solo travelers  
4748650,Central location; Historic neighborhood; Quiet street  
4749529,Modern apartment; Near parks or green spaces; Close to nightlife  
4773528,Family-friendly; Nearby parks or green spaces; Quiet area  
4778330,Near public transportation; Budget-friendly; Private entrance
4782133,Family-friendly; Cozy atmosphere; Close to local markets
4791206,Cozy atmosphere; Close to restaurants and cafes; Ideal for couples
4795280,Near major landmarks; Quiet area; Panoramic city views
4817705,Central location; Close to restaurants and cafes; Cozy atmosphere
4819738,Near public transportation; Close to parks; Quiet area
4826668,Cozy atmosphere; Includes high-speed WiFi; Close to local markets
4829583,Central location; Near major landmarks; Quiet area
4830292,Central location; Stylish and modern decor; Close to shopping areas
4848318,Budget-friendly; Ideal for couples; Suitable for solo travelers
4857621,Cozy atmosphere; Fully equipped kitchen; Near major landmarks
4862489,Central location; Quiet area; Ideal for couples  
4871411,Family-friendly; Cozy atmosphere; Close to restaurants and cafes  
4876586,Central location; Near cultural attractions; Historic neighborhood  
4882585,Good natural lighting; Family-friendly; Suitable for solo travelers  
4883830,Quiet area; Pet-friendly; Nearby parks or green spaces  
4900540,Modern apartment; Near public transportation; Close to major landmarks  
4904639,Quiet area; Near public transportation; Cozy atmosphere  
4911206,Central location; Close to restaurants and cafes; Family-friendly  
4912711,Suitable for solo travelers; Quiet area; Perfect for extended stays  
4914359,Unique architectural design; Luxury apartment; Historic neighborhood
4944617,Central location; Historic neighborhood; Modern apartment  
4955788,Family-friendly; Near public transportation; Cozy atmosphere  
4962251,Central location; Family-friendly; Near public transportation  
5034836,Central location; Fully equipped kitchen; Spacious living areas  
5074148,Central location; Quiet area; Spacious living areas  
5081764,Quiet area; Close to parks and green spaces; Family-friendly  
5113272,Central location; Near public transportation; Fully equipped kitchen  
5113342,Central location; Ideal for couples; Near cultural attractions  
5119071,Unique architectural design; Artistic atmosphere; Cozy atmosphere  
5119296,Unique architectural design; Ideal for couples; Cozy atmosphere
5119567,Unique architectural design; Cozy atmosphere; Artistic atmosphere  
5139915,Luxury apartment; Central location; Near cultural attractions  
5151651,Quiet area; Near public transportation; Nearby parks or green spaces  
5153029,Central location; Fully equipped kitchen; Family-friendly  
5177334,Cyclist-friendly area; Spacious living areas; Near public transportation  
5181475,Quiet area; Nearby parks or green spaces; Close to restaurants and cafes  
5185601,Quiet area; Near public transportation; Budget-friendly  
5192827,Family-friendly; Central location; Close to public transportation  
5196746,Stylish and modern decor; Quiet area; Artistic atmosphere  
5206237,Historic neighborhood; Central location; Stylish and modern decor
5219624,Historic neighborhood; Unique architectural design; Charming old-town vibe  
5220520,Central location; Near public transportation; Family-friendly  
5236264,Central location; Family-friendly; Spacious living areas  
5239268,Historic neighborhood; Includes high-speed WiFi; Stylish and modern decor  
5247792,Fully equipped kitchen; Private parking; Quiet area  
5282748,Central location; Family-friendly; Stylish and modern decor  
5285149,Central location; Near cultural attractions; Walkable neighborhood  
5290902,Central location; Close to restaurants and cafes; Kid-friendly amenities  
5293232,Central location; Near public transportation; Boutique apartment  
5294795,Central location; Near cultural attractions; Spacious living areas
5295639,Central location; Safe neighborhood; Close to nightlife  
5312474,Central location; Historic neighborhood; Modern apartment  
5320952,Central location; Good natural lighting; Cozy atmosphere  
5321364,Central location; Close to nightlife; Family-friendly  
5331996,Near cultural attractions; Unique architectural design; Scenic walking routes nearby  
5390837,Quiet area; Nearby parks or green spaces; Walkable neighborhood  
5404280,Budget-friendly; Quiet area; Fully equipped kitchen  
5453418,Central location; Historic neighborhood; Luxury apartment  
5461931,Luxury apartment; Spacious living areas; Ideal for couples  
5477606,Quiet area; Cozy atmosphere; Good natural lighting
5483549,
5484508,Cozy atmosphere; Central location; Family-friendly  
5514977,
5528865,Historic neighborhood; Unique architectural design; Charming old-town vibe  
5542433,Central location; Spacious living areas; Near public transportation  
5545896,Ideal for couples; Quiet area; With private parking  
5554041,Family-friendly; Near public transportation; Budget-friendly  
5558220,Family-friendly; Quiet area; Good natural lighting  
5595637,Quiet area; Central location; Near public transportation  
5648285,
5675676,Modern apartment; Includes high-speed WiFi; Close to restaurants and cafes  
